==> exp1.02__0.07/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	361706
2_alignments.dyn/1_reference/00002.fa	00002.fa	315564
2_alignments.dyn/1_reference/00003.fa	00003.fa	266523
2_alignments.dyn/1_reference/00004.fa	00004.fa	222934
2_alignments.dyn/1_reference/00005.fa	00005.fa	187772
2_alignments.dyn/1_reference/00006.fa	00006.fa	160731
2_alignments.dyn/1_reference/00007.fa	00007.fa	140583
2_alignments.dyn/1_reference/00008.fa	00008.fa	126105
2_alignments.dyn/1_reference/00009.fa	00009.fa	115550
2_alignments.dyn/1_reference/00010.fa	00010.fa	108257
2_alignments.dyn/1_reference/00011.fa	00011.fa	102986
2_alignments.dyn/1_reference/00012.fa	00012.fa	99219
2_alignments.dyn/1_reference/00013.fa	00013.fa	96434
2_alignments.dyn/1_reference/00014.fa	00014.fa	94544
2_alignments.dyn/1_reference/00015.fa	00015.fa	93153
2_alignments.dyn/1_reference/00016.fa	00016.fa	92195
2_alignments.dyn/1_reference/00017.fa	00017.fa	91451
2_alignments.dyn/1_reference/00018.fa	00018.fa	90896

==> exp1.02__0.07/updates.tsv <==

itref_sum	298354
dyn_sum	305911

2_alignments.dyn/5_vcf/00000.vcf.gz	23286
2_alignments.dyn/5_vcf/00001.vcf.gz	47271
2_alignments.dyn/5_vcf/00002.vcf.gz	50500
2_alignments.dyn/5_vcf/00003.vcf.gz	45014
2_alignments.dyn/5_vcf/00004.vcf.gz	36473
2_alignments.dyn/5_vcf/00005.vcf.gz	28208
2_alignments.dyn/5_vcf/00006.vcf.gz	21149
2_alignments.dyn/5_vcf/00007.vcf.gz	15179
2_alignments.dyn/5_vcf/00008.vcf.gz	11162
2_alignments.dyn/5_vcf/00009.vcf.gz	7753
2_alignments.dyn/5_vcf/00010.vcf.gz	5662
2_alignments.dyn/5_vcf/00011.vcf.gz	4017
2_alignments.dyn/5_vcf/00012.vcf.gz	3013
2_alignments.dyn/5_vcf/00013.vcf.gz	2054
2_alignments.dyn/5_vcf/00014.vcf.gz	1527
2_alignments.dyn/5_vcf/00015.vcf.gz	1090
2_alignments.dyn/5_vcf/00016.vcf.gz	849
2_alignments.dyn/5_vcf/00017.vcf.gz	653
2_alignments.dyn/5_vcf/00018.vcf.gz	549
2_alignments.dyn/5_vcf/00019.vcf.gz	502

2_alignments.itref/5_vcf/00000.vcf.gz	294604
2_alignments.itref/5_vcf/00001.vcf.gz	2013
2_alignments.itref/5_vcf/00002.vcf.gz	889
2_alignments.itref/5_vcf/00003.vcf.gz	511
2_alignments.itref/5_vcf/00004.vcf.gz	337


==> exp1.04__0.07-ococo16/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	361706
2_alignments.dyn/1_reference/00002.fa	00002.fa	315564
2_alignments.dyn/1_reference/00003.fa	00003.fa	266523
2_alignments.dyn/1_reference/00004.fa	00004.fa	222932
2_alignments.dyn/1_reference/00005.fa	00005.fa	187769

==> exp1.04__0.07-ococo16/updates.tsv <==

itref_sum	298395
dyn_sum	305942

2_alignments.dyn/5_vcf/00000.vcf.gz	23286
2_alignments.dyn/5_vcf/00001.vcf.gz	47271
2_alignments.dyn/5_vcf/00002.vcf.gz	50500
2_alignments.dyn/5_vcf/00003.vcf.gz	45016
2_alignments.dyn/5_vcf/00004.vcf.gz	36474
2_alignments.dyn/5_vcf/00005.vcf.gz	28212
2_alignments.dyn/5_vcf/00006.vcf.gz	21153
2_alignments.dyn/5_vcf/00007.vcf.gz	15185
2_alignments.dyn/5_vcf/00008.vcf.gz	11166
2_alignments.dyn/5_vcf/00009.vcf.gz	7758
2_alignments.dyn/5_vcf/00010.vcf.gz	5667
2_alignments.dyn/5_vcf/00011.vcf.gz	4021
2_alignments.dyn/5_vcf/00012.vcf.gz	3014
2_alignments.dyn/5_vcf/00013.vcf.gz	2060
2_alignments.dyn/5_vcf/00014.vcf.gz	1529
2_alignments.dyn/5_vcf/00015.vcf.gz	1087
2_alignments.dyn/5_vcf/00016.vcf.gz	849
2_alignments.dyn/5_vcf/00017.vcf.gz	645
2_alignments.dyn/5_vcf/00018.vcf.gz	550
2_alignments.dyn/5_vcf/00019.vcf.gz	499

2_alignments.itref/5_vcf/00000.vcf.gz	294634
2_alignments.itref/5_vcf/00001.vcf.gz	2016
2_alignments.itref/5_vcf/00002.vcf.gz	894
2_alignments.itref/5_vcf/00003.vcf.gz	511
2_alignments.itref/5_vcf/00004.vcf.gz	340


==> exp1.06__0.07-indels/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	359506
2_alignments.dyn/1_reference/00002.fa	00002.fa	308418
2_alignments.dyn/1_reference/00003.fa	00003.fa	253890
2_alignments.dyn/1_reference/00004.fa	00004.fa	204677
2_alignments.dyn/1_reference/00005.fa	00005.fa	164836
2_alignments.dyn/1_reference/00006.fa	00006.fa	133931
2_alignments.dyn/1_reference/00007.fa	00007.fa	110700
2_alignments.dyn/1_reference/00008.fa	00008.fa	93861
2_alignments.dyn/1_reference/00009.fa	00009.fa	81567
2_alignments.dyn/1_reference/00010.fa	00010.fa	72984
2_alignments.dyn/1_reference/00011.fa	00011.fa	66660
2_alignments.dyn/1_reference/00012.fa	00012.fa	62147
2_alignments.dyn/1_reference/00013.fa	00013.fa	58766
2_alignments.dyn/1_reference/00014.fa	00014.fa	56477
2_alignments.dyn/1_reference/00015.fa	00015.fa	54763
2_alignments.dyn/1_reference/00016.fa	00016.fa	53517
2_alignments.dyn/1_reference/00017.fa	00017.fa	52582
2_alignments.dyn/1_reference/00018.fa	00018.fa	51817
2_alignments.dyn/1_reference/00019.fa	00019.fa	51215
2_alignments.dyn/1_reference/00020.fa	00020.fa	50690

==> exp1.06__0.07-indels/edit_dist_itref.tsv <==

2_alignments.itref/1_reference/00000.fa	00000.fa	384506
2_alignments.itref/1_reference/00001.fa	00001.fa	58219
2_alignments.itref/1_reference/00002.fa	00002.fa	55111
2_alignments.itref/1_reference/00003.fa	00003.fa	53168
2_alignments.itref/1_reference/00004.fa	00004.fa	52063
2_alignments.itref/1_reference/00005.fa	00005.fa	51446

==> exp1.06__0.07-indels/updates.tsv <==

itref_sum	351026
dyn_sum	360622

2_alignments.dyn/5_vcf/00000.vcf.gz	25992
2_alignments.dyn/5_vcf/00001.vcf.gz	53389
2_alignments.dyn/5_vcf/00002.vcf.gz	58046
2_alignments.dyn/5_vcf/00003.vcf.gz	52651
2_alignments.dyn/5_vcf/00004.vcf.gz	43205
2_alignments.dyn/5_vcf/00005.vcf.gz	33862
2_alignments.dyn/5_vcf/00006.vcf.gz	25605
2_alignments.dyn/5_vcf/00007.vcf.gz	18551
2_alignments.dyn/5_vcf/00008.vcf.gz	13793
2_alignments.dyn/5_vcf/00009.vcf.gz	9835
2_alignments.dyn/5_vcf/00010.vcf.gz	7238
2_alignments.dyn/5_vcf/00011.vcf.gz	5139
2_alignments.dyn/5_vcf/00012.vcf.gz	3862
2_alignments.dyn/5_vcf/00013.vcf.gz	2649
2_alignments.dyn/5_vcf/00014.vcf.gz	1949
2_alignments.dyn/5_vcf/00015.vcf.gz	1488
2_alignments.dyn/5_vcf/00016.vcf.gz	1161
2_alignments.dyn/5_vcf/00017.vcf.gz	919
2_alignments.dyn/5_vcf/00018.vcf.gz	695
2_alignments.dyn/5_vcf/00019.vcf.gz	593

2_alignments.itref/5_vcf/00000.vcf.gz	334762
2_alignments.itref/5_vcf/00001.vcf.gz	10435
2_alignments.itref/5_vcf/00002.vcf.gz	3616
2_alignments.itref/5_vcf/00003.vcf.gz	1483
2_alignments.itref/5_vcf/00004.vcf.gz	730


==> exp1.08__0.07-dels/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	359442
2_alignments.dyn/1_reference/00002.fa	00002.fa	308362
2_alignments.dyn/1_reference/00003.fa	00003.fa	253940
2_alignments.dyn/1_reference/00004.fa	00004.fa	204989
2_alignments.dyn/1_reference/00005.fa	00005.fa	165459
2_alignments.dyn/1_reference/00006.fa	00006.fa	134828
2_alignments.dyn/1_reference/00007.fa	00007.fa	111917
2_alignments.dyn/1_reference/00008.fa	00008.fa	95345
2_alignments.dyn/1_reference/00009.fa	00009.fa	83293
2_alignments.dyn/1_reference/00010.fa	00010.fa	74916
2_alignments.dyn/1_reference/00011.fa	00011.fa	68785
2_alignments.dyn/1_reference/00012.fa	00012.fa	64419
2_alignments.dyn/1_reference/00013.fa	00013.fa	61158
2_alignments.dyn/1_reference/00014.fa	00014.fa	58946
2_alignments.dyn/1_reference/00015.fa	00015.fa	57310
2_alignments.dyn/1_reference/00016.fa	00016.fa	56125
2_alignments.dyn/1_reference/00017.fa	00017.fa	55240
2_alignments.dyn/1_reference/00018.fa	00018.fa	54532
2_alignments.dyn/1_reference/00019.fa	00019.fa	53977
2_alignments.dyn/1_reference/00020.fa	00020.fa	53510

==> exp1.08__0.07-dels/edit_dist_itref.tsv <==

2_alignments.itref/1_reference/00000.fa	00000.fa	384506
2_alignments.itref/1_reference/00001.fa	00001.fa	58169
2_alignments.itref/1_reference/00002.fa	00002.fa	55969
2_alignments.itref/1_reference/00003.fa	00003.fa	54953
2_alignments.itref/1_reference/00004.fa	00004.fa	54360

==> exp1.09__0.07-bowtie2/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	366622
2_alignments.dyn/1_reference/00002.fa	00002.fa	327955
2_alignments.dyn/1_reference/00003.fa	00003.fa	284121
2_alignments.dyn/1_reference/00004.fa	00004.fa	241979
2_alignments.dyn/1_reference/00005.fa	00005.fa	206075
2_alignments.dyn/1_reference/00006.fa	00006.fa	176698
2_alignments.dyn/1_reference/00007.fa	00007.fa	154010
2_alignments.dyn/1_reference/00008.fa	00008.fa	137049
2_alignments.dyn/1_reference/00009.fa	00009.fa	124564
2_alignments.dyn/1_reference/00010.fa	00010.fa	115942
2_alignments.dyn/1_reference/00011.fa	00011.fa	109908
2_alignments.dyn/1_reference/00012.fa	00012.fa	105665
2_alignments.dyn/1_reference/00013.fa	00013.fa	102832
2_alignments.dyn/1_reference/00014.fa	00014.fa	101063
2_alignments.dyn/1_reference/00015.fa	00015.fa	99772
2_alignments.dyn/1_reference/00016.fa	00016.fa	98909
2_alignments.dyn/1_reference/00017.fa	00017.fa	98338
