l0_reads.txt:real	14m43.250s
l0_reads.txt:user	14m7.860s
l0_reads.txt:sys	0m29.960s
l1_index.txt:real	80m0.726s
l1_index.txt:user	78m12.400s
l1_index.txt:sys	0m15.510s
l2.1_alignment_nofile.txt:real	56m11.661s
l2.1_alignment_nofile.txt:user	443m25.350s
l2.1_alignment_nofile.txt:sys	1m3.260s
l2.2_alignment_unsorted.txt:real	59m6.202s
l2.2_alignment_unsorted.txt:user	462m47.040s
l2.2_alignment_unsorted.txt:sys	1m30.940s
l2.3_alignment_sorted.txt:real	74m50.507s
l2.3_alignment_sorted.txt:user	485m25.230s
l2.3_alignment_sorted.txt:sys	2m1.670s
